id,bg_red,bg_green,bg_blue,fg_reg,fg_green,fg_blue
533,0,0,0,255,255,0
534,28,28,28,255,255,0
535,49,49,49,255,255,0
536,72,72,72,255,255,0
537,97,97,97,255,255,0
538,122,122,122,255,255,0
539,148,149,148,255,255,0
540,175,175,175,255,255,0
541,202,202,201,255,255,0
542,229,229,229,255,255,0
543,255,255,255,255,255,0
544,45,21,25,255,255,0
545,42,24,12,255,255,0
546,33,28,8,255,255,0
547,22,31,20,255,255,0
548,16,31,26,255,255,0
549,10,31,33,255,255,0
550,12,30,40,255,255,0
551,26,27,43,255,255,0
552,37,23,40,255,255,0
553,43,22,33,255,255,0
554,91,66,63,255,255,0
555,87,68,55,255,255,0
556,77,72,52,255,255,0
557,64,75,60,255,255,0
558,57,76,69,255,255,0
559,53,76,77,255,255,0
560,55,75,85,255,255,0
561,69,71,88,255,255,0
562,82,67,83,255,255,0
563,89,66,72,255,255,0
564,140,117,114,255,255,0
565,138,119,104,255,255,0
566,128,123,98,255,255,0
567,114,126,106,255,255,0
568,104,128,118,255,255,0
569,101,128,127,255,255,0
570,106,125,134,255,255,0
571,119,122,136,255,255,0
572,130,119,131,255,255,0
573,137,118,122,255,255,0
574,192,170,166,255,255,0
575,191,172,154,255,255,0
576,181,176,147,255,255,0
577,165,180,154,255,255,0
578,153,181,169,255,255,0
579,151,181,179,255,255,0
580,159,178,185,255,255,0
581,172,174,186,255,255,0
582,182,172,182,255,255,0
583,188,171,174,255,255,0
584,244,225,221,255,255,0
585,246,226,205,255,255,0
586,235,230,196,255,255,0
587,219,234,203,255,255,0
588,204,237,221,255,255,0
589,203,236,233,255,255,0
590,213,232,239,255,255,0
591,226,229,239,255,255,0
592,235,226,234,255,255,0
593,241,225,228,255,255,0
594,76,37,46,255,255,0
595,78,37,38,255,255,0
596,77,38,28,255,255,0
597,71,42,17,255,255,0
598,65,46,7,255,255,0
599,57,49,2,255,255,0
600,47,52,12,255,255,0
601,34,54,26,255,255,0
602,21,56,38,255,255,0
603,13,56,44,255,255,0
604,3,56,51,255,255,0
605,0,56,59,255,255,0
606,0,55,66,255,255,0
607,5,53,72,255,255,0
608,25,51,75,255,255,0
609,44,47,76,255,255,0
610,57,43,72,255,255,0
611,64,40,67,255,255,0
612,70,39,60,255,255,0
613,74,37,54,255,255,0
614,130,85,88,255,255,0
615,131,85,79,255,255,0
616,130,86,69,255,255,0
617,125,89,58,255,255,0
618,116,94,51,255,255,0
619,106,97,47,255,255,0
620,95,101,51,255,255,0
621,79,104,64,255,255,0
622,64,106,80,255,255,0
623,56,106,89,255,255,0
624,49,106,97,255,255,0
625,46,106,107,255,255,0
626,48,105,116,255,255,0
627,59,102,121,255,255,0
628,74,99,124,255,255,0
629,91,95,125,255,255,0
630,104,91,122,255,255,0
631,114,88,116,255,255,0
632,121,86,107,255,255,0
633,127,85,96,255,255,0
634,181,138,139,255,255,0
635,183,138,130,255,255,0
636,182,139,119,255,255,0
637,178,142,109,255,255,0
638,169,146,100,255,255,0
639,159,150,96,255,255,0
640,147,153,99,255,255,0
641,131,157,111,255,255,0
642,114,159,127,255,255,0
643,105,160,138,255,255,0
644,100,160,147,255,255,0
645,98,159,158,255,255,0
646,103,157,166,255,255,0
647,114,155,172,255,255,0
648,127,151,174,255,255,0
649,142,147,175,255,255,0
650,154,144,172,255,255,0
651,165,141,165,255,255,0
652,172,139,156,255,255,0
653,178,138,147,255,255,0
654,235,191,191,255,255,0
655,238,191,181,255,255,0
656,238,192,169,255,255,0
657,232,195,159,255,255,0
658,223,199,149,255,255,0
659,212,203,145,255,255,0
660,201,206,147,255,255,0
661,183,211,159,255,255,0
662,165,213,177,255,255,0
663,157,214,189,255,255,0
664,152,214,198,255,255,0
665,151,213,209,255,255,0
666,153,212,218,255,255,0
667,163,209,225,255,255,0
668,179,205,228,255,255,0
669,193,201,228,255,255,0
670,206,197,225,255,255,0
671,218,194,217,255,255,0
672,225,193,208,255,255,0
673,231,192,199,255,255,0
674,62,2,32,255,255,0
675,63,1,27,255,255,0
676,64,1,21,255,255,0
677,64,4,3,255,255,0
678,0,28,66,255,255,0
679,22,23,65,255,255,0
680,41,16,58,255,255,0
681,46,14,55,255,255,0
682,48,12,53,255,255,0
683,53,9,48,255,255,0
684,56,7,45,255,255,0
685,58,5,41,255,255,0
686,117,51,60,255,255,0
687,117,51,53,255,255,0
688,117,52,47,255,255,0
689,114,56,32,255,255,0
690,109,59,24,255,255,0
691,105,62,17,255,255,0
692,95,67,0,255,255,0
693,89,70,0,255,255,0
694,83,72,0,255,255,0
695,68,77,0,255,255,0
696,59,79,11,255,255,0
697,45,81,26,255,255,0
698,7,83,50,255,255,0
699,0,84,57,255,255,0
700,0,84,63,255,255,0
701,0,79,110,255,255,0
702,24,75,114,255,255,0
703,42,73,115,255,255,0
704,62,68,115,255,255,0
705,84,62,109,255,255,0
706,91,60,104,255,255,0
707,97,57,100,255,255,0
708,107,54,88,255,255,0
709,111,52,81,255,255,0
710,114,51,74,255,255,0
711,170,104,108,255,255,0
712,171,104,101,255,255,0
713,171,105,95,255,255,0
714,169,107,78,255,255,0
715,166,110,70,255,255,0
716,162,112,62,255,255,0
717,150,118,48,255,255,0
718,143,121,43,255,255,0
719,136,123,41,255,255,0
720,120,128,48,255,255,0
721,110,131,56,255,255,0
722,96,133,69,255,255,0
723,69,136,95,255,255,0
724,59,137,104,255,255,0
725,53,137,110,255,255,0
726,42,137,122,255,255,0
727,35,136,130,255,255,0
728,28,136,136,255,255,0
729,33,134,150,255,255,0
730,45,133,155,255,255,0
731,59,131,159,255,255,0
732,85,126,163,255,255,0
733,97,124,164,255,255,0
