color_id,R,G,B,Label
1,0,0,0,NaN
2,51,0,0,NaN
3,102,0,0,NaN
4,153,0,0,NaN
5,204,0,0,NaN
6,255,0,0,NaN
7,0,51,0,NaN
8,51,51,0,NaN
9,102,51,0,NaN
10,153,51,0,NaN
11,204,51,0,NaN
12,255,51,0,NaN
13,0,102,0,NaN
14,51,102,0,NaN
15,102,102,0,NaN
16,153,102,0,NaN
17,204,102,0,NaN
18,255,102,0,NaN
19,0,153,0,NaN
20,51,153,0,NaN
21,102,153,0,NaN
22,153,153,0,NaN
23,204,153,0,NaN
24,255,153,0,NaN
25,0,204,0,NaN
26,51,204,0,NaN
27,102,204,0,NaN
28,153,204,0,NaN
29,204,204,0,NaN
30,255,204,0,NaN
31,0,255,0,NaN
32,51,255,0,NaN
33,102,255,0,NaN
34,153,255,0,NaN
35,204,255,0,NaN
36,255,255,0,NaN
37,0,0,51,NaN
38,51,0,51,NaN
39,102,0,51,NaN
40,153,0,51,NaN
41,204,0,51,NaN
42,255,0,51,NaN
43,0,51,51,NaN
44,51,51,51,NaN
45,102,51,51,NaN
46,153,51,51,NaN
47,204,51,51,NaN
48,255,51,51,NaN
49,0,102,51,NaN
50,51,102,51,NaN
51,102,102,51,NaN
52,153,102,51,NaN
53,204,102,51,NaN
54,255,102,51,NaN
55,0,153,51,NaN
56,51,153,51,NaN
57,102,153,51,NaN
58,153,153,51,NaN
59,204,153,51,NaN
60,255,153,51,NaN
61,0,204,51,NaN
62,51,204,51,NaN
63,102,204,51,NaN
64,153,204,51,NaN
65,204,204,51,NaN
66,255,204,51,NaN
67,0,255,51,NaN
68,51,255,51,NaN
69,102,255,51,NaN
70,153,255,51,NaN
71,204,255,51,NaN
72,255,255,51,NaN
73,0,0,102,NaN
74,51,0,102,NaN
75,102,0,102,NaN
76,153,0,102,NaN
77,204,0,102,NaN
78,255,0,102,NaN
79,0,51,102,NaN
80,51,51,102,NaN
81,102,51,102,NaN
82,153,51,102,NaN
83,204,51,102,NaN
84,255,51,102,NaN
85,0,102,102,NaN
86,51,102,102,NaN
87,102,102,102,NaN
88,153,102,102,NaN
89,204,102,102,NaN
90,255,102,102,NaN
91,0,153,102,NaN
92,51,153,102,NaN
93,102,153,102,NaN
94,153,153,102,NaN
95,204,153,102,NaN
96,255,153,102,NaN
97,0,204,102,NaN
98,51,204,102,NaN
99,102,204,102,NaN
100,153,204,102,NaN
101,204,204,102,NaN
102,255,204,102,NaN
103,0,255,102,NaN
104,51,255,102,NaN
105,102,255,102,NaN
106,153,255,102,NaN
107,204,255,102,NaN
108,255,255,102,NaN
109,0,0,153,NaN
110,51,0,153,NaN
111,102,0,153,NaN
112,153,0,153,NaN
113,204,0,153,NaN
114,255,0,153,NaN
115,0,51,153,NaN
116,51,51,153,NaN
117,102,51,153,NaN
118,153,51,153,NaN
119,204,51,153,NaN
120,255,51,153,NaN
121,0,102,153,NaN
122,51,102,153,NaN
123,102,102,153,NaN
124,153,102,153,NaN
125,204,102,153,NaN
126,255,102,153,NaN
127,0,153,153,NaN
128,51,153,153,NaN
129,102,153,153,NaN
130,153,153,153,NaN
131,204,153,153,NaN
132,255,153,153,NaN
133,0,204,153,NaN
134,51,204,153,NaN
135,102,204,153,NaN
136,153,204,153,NaN
137,204,204,153,NaN
138,255,204,153,NaN
139,0,255,153,NaN
140,51,255,153,NaN
141,102,255,153,NaN
142,153,255,153,NaN
143,204,255,153,NaN
144,255,255,153,NaN
145,0,0,204,NaN
146,51,0,204,NaN
147,102,0,204,NaN
148,153,0,204,NaN
149,204,0,204,NaN
150,255,0,204,NaN
151,0,51,204,NaN
152,51,51,204,NaN
153,102,51,204,NaN
154,153,51,204,NaN
155,204,51,204,NaN
156,255,51,204,NaN
157,0,102,204,NaN
158,51,102,204,NaN
159,102,102,204,NaN
160,153,102,204,NaN
161,204,102,204,NaN
162,255,102,204,NaN
163,0,153,204,NaN
164,51,153,204,NaN
165,102,153,204,NaN
166,153,153,204,NaN
167,204,153,204,NaN
168,255,153,204,NaN
169,0,204,204,NaN
170,51,204,204,NaN
171,102,204,204,NaN
172,153,204,204,NaN
173,204,204,204,NaN
174,255,204,204,NaN
175,0,255,204,NaN
176,51,255,204,NaN
177,102,255,204,NaN
178,153,255,204,NaN
179,204,255,204,NaN
180,255,255,204,NaN
181,0,0,255,NaN
182,51,0,255,NaN
183,102,0,255,NaN
184,153,0,255,NaN
185,204,0,255,NaN
186,255,0,255,NaN
187,0,51,255,NaN
188,51,51,255,NaN
189,102,51,255,NaN
190,153,51,255,NaN
191,204,51,255,NaN
192,255,51,255,NaN
193,0,102,255,NaN
194,51,102,255,NaN
195,102,102,255,NaN
196,153,102,255,NaN
197,204,102,255,NaN
198,255,102,255,NaN
199,0,153,255,NaN
200,51,153,255,NaN
201,102,153,255,NaN
202,153,153,255,NaN
203,204,153,255,NaN
204,255,153,255,NaN
205,0,204,255,NaN
206,51,204,255,NaN
207,102,204,255,NaN
208,153,204,255,NaN
209,204,204,255,NaN
210,255,204,255,NaN
211,0,255,255,NaN
212,51,255,255,NaN
213,102,255,255,NaN
214,153,255,255,NaN
215,204,255,255,NaN
216,255,255,255,NaN
217,51,48,186,blue
218,70,167,109,green
219,197,0,23,red
220,242,235,75,yellow
221,83,0,255,Splus
222,171,255,0,Sminus
223,255,0,36,Lplus
224,0,255,219,Lminus
225,0,255,165,Mplus
226,255,0,90,Mminus
