language,color_name,m_L,m_a,m_b,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,sigma_8,sigma_9,den,prob,m_R,m_G,m_B
English,beige,70.1010451352381,3.91835340171429,25.1975990793333,159.634606699906,-64.2152112193259,76.7000197710427,-64.2152112193259,133.538559209469,-78.8587824596157,76.7000197710427,-78.8587824596157,246.342796834548,0.000616857570031865,0.00865622423742786,195,168,126
English,black,11.3337277821538,4.26786878181538,-0.909642743692309,23.6620839545997,-8.03546235988476,4.30851544347921,-8.03546235988476,160.451930349438,-38.6630072273930,4.30851544347921,-38.6630072273930,104.729726780048,0.000925259902503078,0.0267930750206101,35,28,31
English,blue,47.5509158143556,12.0714527032044,-41.6536244115555,320.348086641002,-331.105717148144,186.874828649862,-331.105717148144,759.615348482477,-527.665980811725,186.874828649862,-527.665980811725,493.442971501695,0.000549715112824743,0.0927452596867271,84,110,183
English,brown,33.9053105072549,16.0026922917941,24.7979640525882,173.045512738685,-40.7757213145973,70.4400677948896,-40.7757213145973,129.537894988602,-33.6341994950924,70.4400677948896,-33.6341994950924,203.101554139114,0.000566106867034559,0.0420445177246496,113,69,41
English,burgundy,21.4453290819048,35.5591572014286,4.14329927742857,39.5854824456269,37.0567516342654,14.7731155787824,37.0567516342654,76.9397972518713,12.7498567071047,14.7731155787824,12.7498567071047,199.741040456360,0.000989913334235017,0.00865622423742786,98,22,47
English,dark_blue,21.6060849196491,13.3492418306140,-30.1022158285790,91.0841896785948,-65.5332994153701,-3.66660236438056,-65.5332994153701,253.313423968862,-167.763842731489,-3.66660236438056,-167.763842731489,209.930248399857,0.000670623084353994,0.0234954657873042,41,47,97
English,dark_brown,16.8904434996296,10.8121980837407,13.0788672832222,47.6430987440701,-11.1796893354444,53.7462709555456,-11.1796893354444,75.7524148389058,-33.0219052141560,53.7462709555456,-33.0219052141560,158.522563873469,0.000682168271906730,0.0111294311624073,61,35,23
English,dark_green,28.1634314420896,-15.2589135695672,8.43433151285075,145.080875085897,-86.4910404972209,113.120350041847,-86.4910404972209,191.649845050629,-108.164133659361,113.120350041847,-108.164133659361,254.193676662861,0.000564137173050129,0.0276174773289365,45,73,53
English,dark_grey,27.7462787960870,1.58336607882609,-4.78423091869565,137.414165486112,-11.5670815218589,-2.98431204586840,-11.5670815218589,58.9473359660301,-18.0206180121391,-2.98431204586840,-18.0206180121391,77.3858198577840,0.000822161552867188,0.00948062654575433,64,65,73
English,green,57.2701429778082,-32.8331035962557,26.1277360631781,336.639747408078,-167.767342053221,97.5726575130295,-167.767342053221,248.143172736811,-94.3721410793967,97.5726575130295,-94.3721410793967,369.735210364769,0.000423122274581098,0.0902720527617477,90,151,90
English,grey,56.0861950094667,1.76555882930667,-3.41292503732000,235.107264410620,12.3543555279698,-1.93885651382701,12.3543555279698,56.5030818501588,-21.4227428128228,-1.93885651382701,-21.4227428128228,62.6509086200857,0.000999021446338187,0.0309150865622424,135,134,140
English,light_blue,69.9695493036250,-9.43888634768750,-25.2012605196000,150.855630189115,-178.081842230453,155.020795011511,-178.081842230453,482.477116372696,-331.981050906451,155.020795011511,-331.981050906451,398.104578230545,0.000655517001928298,0.0329760923330585,118,178,216
