id,red,green,blue
0,0,0,0
1,0,104,149
2,0,113,63
3,0,125,220
4,0,156,234
5,0,163,193
6,0,165,185
7,0,166,177
8,0,167,167
9,0,168,147
10,0,168,158
11,0,190,240
12,0,199,152
13,0,199,162
14,0,231,160
15,0,255,235
16,0,28,66
17,0,49,103
18,0,55,66
19,0,56,59
20,0,73,141
21,0,79,110
22,0,84,57
23,0,84,63
24,0,98,178
25,100,160,147
26,100,191,172
27,100,223,180
28,101,128,127
29,101,82,172
30,102,118,190
31,103,157,166
32,103,38,147
33,103,48,123
34,104,128,118
35,104,187,207
36,104,196,96
37,104,91,122
38,105,160,138
39,105,62,17
40,106,125,134
41,106,73,193
42,106,97,47
43,107,54,88
44,108,191,160
45,108,223,171
46,109,59,24
47,10,31,33
48,110,131,56
49,110,227,99
50,111,120,164
51,111,43,117
52,111,52,81
53,111,85,143
54,112,150,204
55,112,163,70
56,112,255,99
57,112,60,216
58,112,7,165
59,113,191,153
60,114,126,106
61,114,155,172
62,114,159,127
63,114,185,211
64,114,29,140
65,114,51,74
66,114,56,32
67,114,88,116
68,116,94,51
69,117,213,255
70,117,51,53
71,117,51,60
72,117,52,47
73,118,39,110
74,119,122,136
75,119,255,166
76,119,43,234
77,119,82,138
78,120,128,48
79,120,178,249
80,120,76,164
81,121,143,233
82,121,86,107
83,122,122,122
84,122,190,143
85,124,112,186
86,124,16,133
87,124,222,155
88,125,106,212
89,125,33,99
90,125,89,58
91,127,0,255
92,127,151,174
93,127,85,96
94,128,123,98
95,128,79,132
96,128,98,235
97,129,193,70
98,129,63,183
99,12,30,40
100,130,119,131
101,130,85,88
102,130,86,69
103,131,115,159
104,131,157,111
105,131,29,88
106,131,71,156
107,131,85,79
108,132,159,50
109,133,0,124
110,133,146,203
111,133,87,0
112,134,86,255
113,135,26,77
114,135,76,125
115,136,123,41
116,136,248,241
117,137,118,122
118,137,33,16
119,138,119,104
120,138,179,215
121,138,23,66
122,139,108,181
123,139,112,154
124,139,248,231
125,139,29,30
126,139,44,204
127,13,56,44
128,140,117,114
129,140,22,55
130,140,24,42
131,140,84,14
132,142,147,175
133,142,248,223
134,142,66,148
135,142,73,117
136,143,121,43
137,144,55,175
138,145,156,37
139,146,220,136
140,146,223,64
141,146,80,27
142,147,110,149
143,147,153,99
144,148,137,228
145,148,142,200
146,148,149,148
147,148,70,106
148,148,99,202
149,149,129,255
150,149,177,216
151,149,187,116
152,149,3,220
153,150,104,174
154,150,118,48
155,150,248,209
156,151,171,249
